id	name	followers	popularity	genres
1bj5GrcLom5gZFF5t949Xl	Martin Solveig	1181392	71	['dance pop', 'disco house', 'edm', 'electro house', 'filter house', 'house', 'pop dance', 'tropical house', 'vocal house']
0y42IQBDFigO5mmEd1bGQG	i_o	76591	58	['edm', 'electro house', 'progressive house']
0ucuxyPTAHv0TPkA1WBV10	Witchery	26052	32	['black metal', 'black thrash', 'death metal', 'swedish black metal', 'swedish metal']
7G9ijzs5M3sEEyYYOjcfwn	The Beta Machine	10783	31	[]
3vxzErr7ghDB5qnfFXnaw3	Lovely Rascals	22	34	[]
04EClrOlfqnBEIvWbzS9H8	BB Diamond	2505	37	[]
6yAWv145sy4X8JuioX2niU	Nicol Matt	1057	43	[]
5irwemCIBdwWYTZrcxX2UW	MorganJ	8533	50	['electro house', 'hardstyle', 'pop edm', 'sky room']
3cNgZ2S4I1TnQhWcppNyZh	Kopa	891	44	[]
4zObDORMaBODHRPMRKuWzH	Dream Doll	4	38	[]
2LCQPp6WYfZVDySyehHIJM	Tosz	127	30	[]
1Yox196W7bzVNZI7RBaPnf	Megadeth	3490258	73	['album rock', 'alternative metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']
2dCQKsTjB762AhtIACbAQA	D:Ream	17121	48	['eurodance', 'europop', 'hip house']
3PeAcdPlMSYVJyaUprwEWS	Miu Hayashi	29	45	[]
65orViGnlMcbptdIGceZzo	Beyhude	3974	48	['ethnotronica', 'organic electronic', 'organic house']
5XVtByLJ0QFGXg7MwG0YKZ	Roger Vignoles	474	27	['art song']
7mGCESDlw5ChfZQTQ3eUIS	braev	1297	51	[]
2hG8VlQmj1un8dl8fbRPQi	Marius Neset	3712	25	['jazz saxophone', 'norwegian contemporary jazz']
3uHURKaTSA3GBQOqUbVXpm	Pacifica Norte	11	49	['rain']
1zl3p4VBfqqHGikw3Ad46R	Fer Casillas	13300	47	['mexican indie', 'monterrey indie', 'r&b en espanol']
7drPVBAlMSneq1rZuNM3FQ	Bruno Bartoletti	121	32	['opera']
3pFPBG84k5bQVbL9apf2PD	Grace Grundy	60755	57	['viral pop']
31IZdHrCZ5pRhLz4zBxN3o	Riff Raff	165047	58	['trap']
0binTLIlGbXSMuzhRykbRq	Stereotype	2533	38	[]
3ZApqOExRoVPi4eiilaUdN	Hans Roelofsen	29	1	['contrabass']
6prmLEyn4LfHlD9NnXWlf7	Adam Lambert	1233300	67	['dance pop', 'electropop', 'idol', 'post-teen pop']
3zunDAtRDg7kflREzWAhxl	Eels	367196	62	['alternative rock', 'melancholia']
0qUCR9pTeRAxEQO1Kcqjqp	Hampus Nessvold	1389	33	[]
0ef7Q5r0NAMicEugmtYxjA	pizzagirl	15087	45	['bedroom pop', 'liverpool indie']
0eebKLG13kCWzqNI1LItJe	Big Dope P	1933	36	['jersey club']
61MM2iytOTtiMD0S578iUa	Dimitri Vassilakis	92	4	[]
0hW1muryuCdZLfjoLrUhnw	Yoon Jong Shin	40177	47	['k-indie', 'korean pop']
74qLRIl7rBXBWAzk0CMOYe	Oh Lascar	111	32	['chill out']
5TYxZTjIPqKM8K8NuP9woO	C. Tangana	1471457	81	['urbano espanol']
2f6hqWBFjqS1EUHMS1JOFB	Unfoonk	5558	52	[]
1qvS1CTPZHz1KyE2jx92pQ	Susan	986	16	[]
3rTRHzFfbTk5GL3LpYZGHR	Maria Mena	192009	63	['candy pop', 'lilith', 'norwegian pop', 'norwegian singer-songwriter']
51hAPClmrwe6oa8aXLsbq7	Red Handed Denial	29476	39	['post-screamo', 'slayer']
6tW9jWf8lpuzDzAdVMvNMV	Meiko	68564	47	['acoustic pop', 'lilith']
4nmvmUQiWmoz5AsRoxW41b	Jørg Sorensen	24	49	[]
6yCdWsTDt4Dmb5GMZd5QLb	Kink	52285	45	['bulgarian electronic', 'deep house', 'disco house', 'float house', 'minimal tech house', 'tech house']
58aFXYJH2kj1nkLSwA8Uv8	The Other Tribe	4930	15	[]
0f4gYAcahUX8MaZxWQ2PG4	Libor Pešek	509	38	[]
3fyr5uksidSlLzsUjRIz5A	Karl Böhm	7932	57	['classical performance', 'orchestral performance']
4hdVPbHhsWAn2XTXVRJoxB	Chris Potter	37191	40	['contemporary jazz', 'contemporary post-bop', 'cool jazz', 'hard bop', 'indie jazz', 'jazz', 'jazz fusion', 'jazz saxophone']
2SabhGDiBSyaM6QSuBUVqB	Noizy	217256	65	['albanian hip hop', 'albanian pop', 'greek trap']
7wXTWO45lqpUejDkike0Gf	Sofia Kourtesis	13675	51	['experimental house']
1rnHt5XG7VPH2jgec03HcE	Members Of The London Symphony Orchestra	181	41	[]
7xgzt9ql9Uq2HOudEYgCX9	Paolo Montarsolo	178	22	['classical bass', 'italian bass']
4NsVVzuaZGk4aya8Pyacew	Adam Doleac	31024	63	['contemporary country', 'country pop']
7Ilefc5kqmjsXyPdNExIt3	Jade Shade	2	24	[]
7GDVEcdwoNfZlN6sRYrjwZ	Carmelito	18	47	[]
4bL2B6hmLlMWnUEZnorEtG	Felix Jaehn	1126135	81	['dance pop', 'edm', 'electro house', 'german dance', 'pop', 'pop dance', 'pop edm', 'pop rap', 'tropical house']
0PK0Dx3s9et0Uf4XbdFpiW	Sons Of Zion	100552	58	['nz reggae', 'pacific islands pop']
5CT5W6JOfOHFzC5hfflWcw	Future	120	48	[]
6jpOOrGFSWdHx6leHfU54n	The Last Artful, Dodgr	12386	47	['portland hip hop']
7v6MC0U94altKRU8VGL0j8	MAVALA	87	37	[]
69Qu66Y6G07dk23Ld2ym1F	Michael Gordon	5497	23	['21st century classical', 'american 21st century classical', 'avant-garde', 'contemporary classical', 'post-minimalism']
2S4n5c3lzji3iJcUxV4cIX	Vulkano	1696	11	['stockholm indie']
7w92c0Kget2te77ZQfZNpx	Speculum Ensemble	235	10	['early music choir']
3uJx5SnOM59Li7lCxA3b29	Lil Keed	695695	67	['melodic rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']
1b7AEdUSudOQoZF5ebUxCL	Humbe	212474	68	['monterrey indie']
6ZI0A8Ffc8are1mphRfpVl	Edo de Waart	659	39	['classical performance', 'orchestral performance']
3fgolNSZnidBlbm5dFi4go	Adrian Dzvuke	1558	32	['west australian hip hop']
6jd3NCxzDeLS4wAO168T60	Alison May	1227	49	[]
1XzA2Am2T9xgqScMxavfhB	Susan Narucki	141	5	[]
3o2dn2O0FCVsWDFSh8qxgG	Sabaton	1397876	76	['metal', 'power metal', 'swedish metal', 'swedish power metal']
2u9ZIMtCrLs7ya2HfIpLKZ	Jelassi	5025	43	['swedish hip hop', 'swedish trap pop']
6DIS6PRrLS3wbnZsf7vYic	WALK THE MOON	1807818	74	['dance pop', 'dance rock', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']
4r5DWadnDM5H57xgX6H3Rc	Scott Metcalfe	42	24	[]
7Fo8TAyGJr4VmhE68QamMf	Talk Talk	374497	62	['art rock', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'rock', 'sophisti-pop', 'synthpop']
3PjQbg9IJ0y2Y2ioqnLYDv	No Dice	2973	39	['columbus ohio indie', 'pop punk']
6cRtd92bKu8M5XBPzBnXJN	Orquesta Ciudad De Granada	140	17	[]
6youHt8m9NhsnQPB2kWCp0	Topi Lehtipuu	514	26	['classical tenor']
4ymdwRD5Aq27CugmxZFJv0	MNYS	470	34	[]
6s8AUvcmf2fp0Kh7PctPnd	John Metcalfe	3125	54	['neo-classical']
3ExT45ORJ8pT516HRZbr7G	The Living End	110440	53	['australian alternative rock', 'australian rock', 'australian ska', 'punk', 'skate punk']
5RNTB5zF7ep1Eyu2VunrKI	Moodster	1	0	[]
2LiqbH7OhqP0yuaG8VL1wJ	Black Sherif	13287	45	['ghanaian pop']
22RISwgVJyZu9lpqAcv1F5	Blossoms	345840	62	['english indie rock', 'modern alternative rock', 'modern rock', 'rock']
4gzYX1gPVnAh5YB1MAo60t	Streets of Laredo	7090	28	['auckland indie', 'nz folk']
7Ko3m6zrJJ8yokj3KLJa7I	Amir Katz	270	37	['israeli classical piano']
4bXqLZCCZmXTfTiLKIuYL6	Philip Harper	146	19	[]
4UffC3o3JiLSg7pa5DpQbp	Mike Yung	45893	45	['pop soul']
