playlist_id	playlist_name	playlist_description	playlist_num_tracks	playlist_num_followers
37i9dQZF1DWYWddJiPzbvb	Comfort Zone	Chilled songs that you are familiar with - no surprises!	200	1384148
37i9dQZF1DWUI1rlvkdQnb	Cool Down	Soft, relaxing music for workout recovery.	100	154903
37i9dQZF1DX4xuWVBs4FgJ	Dinner with Friends	Dinner with Friends? Here's the perfect playlist.	100	1334351
37i9dQZF1DWWQp0YMTvpD3	Downtempo Beats	Chill out with this mix of mid and downtempo beats.	67	141065
37i9dQZF1DWY8U6Zq7nvbE	Hot Acoustics	The best from the world of acoustic songs right now.	100	1107923
37i9dQZF1DWZIOAPKUdaKS	Focus Piano	Piano music to hone your thought process.	250	292580
37i9dQZF1DWX83CujKHHOn	Alone Again	Being alone (again) can be tough, but these songs will keep you company.	100	2801349
37i9dQZF1DX9nq0BqAtM4H	Halloween Teens	The perfect spooky music backdrop to your Halloween party!	35	90109
37i9dQZF1DWUGsgkESc7qP	Hangover Friendly	It's the day after and the last thing you need is loud noises.	100	185559
37i9dQZF1DWTtOKhkK5Mem	In the Arms of a Woman	Male artists singing about love.	150	597740
37i9dQZF1DX9sIqqvKsjG8	Instrumental Study	A soft musical backdrop for your studies.	328	1536206
37i9dQZF1DX4roJ565TJ33	Svensk jazz	Svensk jazz när den är som bäst.	75	26083
37i9dQZF1DX5Ufz5ldo0J4	Keep Calm	Lean back, close your eyes, and relax.	229	149748
37i9dQZF1DX2FsCLsHeMrM	Kitchen Swagger	Get jiggy in the kitchen with this groovy playlist.	138	678768
37i9dQZF1DXc3FQfFV3K6V	Laidback Acoustic	Acoustic versions of well-known songs.	125	570564
37i9dQZF1DX4wta20PHgwo	Late Night Jazz	The perfect backdrop to an evening spent relaxing in solitude.	100	1880956
37i9dQZF1DXdL58DnQ4ZqM	Lazy Chill Afternoon	Mellow tracks with slow tempo beats, perfect to a Chill Afternoon.	100	161671
37i9dQZF1DX3YSRoSdA634	Life Sucks	Feeling like everything just plain sucks? We've all been there.	200	3153446
37i9dQZF1DX5SrscLLafXx	Love In Paris	Ah, Paris. It's easy to see why it's called the city of love.	40	277031
37i9dQZF1DX82pCGH5USnM	Lounge - Soft House	Soft house music for your laidback moments.	163	1625257
37i9dQZF1DXd1MXcE8WTXq	Summer Throwback	The biggest summer hits of all time!	80	323714
37i9dQZF1DX1tuUiirhaT3	Meditate to the Sounds of Nature	Calm ambient music with gentle nature sounds.	170	733856
37i9dQZF1DXdxcBWuJkbcy	Motivation Mix	Uplifting and energetic music that helps you stay motivated.	100	5859890
37i9dQZF1DWYMvTygsLWlG	Love Ballads	Some of the worlds most beautiful love songs.	250	1694893
37i9dQZF1DXcsT4WKI8W8r	Music for a Workday	A playlist to get you through your whole workday.	145	200667
37i9dQZF1DWVcV87ePAqAq	Fest!	Fest kan vara minst lika kul även om du bara är med dina allra närmsta!	100	112470
37i9dQZF1DX7CB1M7sBt21	Pepplåtar till träningspasset	Ingenting peppar en under ett träningspass som riktigt bra musik.	80	182963
37i9dQZF1DWSluGMsH1R9r	Perfect Concentration	Calm piano music for enhanced concentration.	200	668886
37i9dQZF1DWVlLVXKTOAYa	Pop Right Now	The most interesting tracks in the current world of pop music.	100	917164
37i9dQZF1DX9BXb6GsGCLl	Powerwalk!	Fuel your powerwalk with these upbeat and uplifting tracks.	80	477739
37i9dQZF1DWSDoVybeQisg	Psychedelic Rock	Zone out to some of the best psychedelic rock classics.	50	774987
37i9dQZF1DWWRktbhJiuqL	Pure Rock & Roll	Various sounds, various decades, but with 1 thing in common: it's pure rock & roll.	100	1408557
37i9dQZF1DWZUTt0fNaCPB	Running to Rock 170-190 BPM	No need for a gadget, just play these rock songs to set your pace!	75	813578
37i9dQZF1DX0jgyAiPl8Af	Peaceful Guitar	Unwind to these calm classical guitar pieces.	210	1860389
37i9dQZF1DX6FpuSJJgdDF	Smooth Morning	A soft start to the day - no fast beats, screaming, or shouting.	148	227873
37i9dQZF1DWSUFOo47GEsI	Sleep Tight	Music to reduce insomnia and help you relax.	183	569495
37i9dQZF1DWSqmBTGDYngZ	Songs to Sing in the Shower	Make your shower more uplifting by singing along to these hits.	200	6242544
37i9dQZF1DX4Q2SnB3glnP	SPA Treatment	Music wellness for your soul.	193	445083
37i9dQZF1DXawcx4otNoU1	Spooning	This is the perfect playlist for those cozy moments.	120	278248
37i9dQZF1DWSSBwgXMlrMk	Sunday Stroll	It´s sunday. Relax and enjoy a nice long walk.	175	221483
37i9dQZF1DX0ZFVMeJPr1Z	Svenska sommarklassiker	Spellistan för den svenska sommaren.	65	68965
37i9dQZF1DX4IkJGKNp9lO	Svensk Punk	Svensk punk från förr och nu.	65	23417
37i9dQZF1DX6DtDmlyZ4X7	Pluggfokus	Musik som hjälper dig att fokusera vid intensiva studier.	200	103103
37i9dQZF1DX2pto11EMGQc	The Bachelor Party	Here's to the groom! Enjoy your day with the boys!	80	87913
37i9dQZF1DX94QVAxB7Dum	The Black Power Mixtape 1967–1975	Music in the award-winning doc: The Black Power Mixtape 1967–1975.	69	565877
37i9dQZF1DWZel4xa7wX1s	The New Waltz	Key words: Contemporary pop, legends, country music - and something in between. Just good tunes!	60	89875
37i9dQZF1DX7F6T2n2fegs	Throwback Party	Here it is, the playlist for the ultimate throwback bash!	150	3002264
37i9dQZF1DX4TXm6C4J2mM	Träning	Den perfekta mixade spellistan för träningspasset.	101	157342
37i9dQZF1DXarlH9zHuV0v	Ultimate Halloween	A playlist of spooky songs to get you ready for fright night!	60	194167
37i9dQZF1DXdsy92d7BLpC	Weekend Hangouts	Throwing a soft party, having drinks or just chilling with your friends.	206	1438838
37i9dQZF1DWT5lkChsPmpy	Workday Lounge	Lounge and chill out music for your workday.	221	257945
37i9dQZF1DX1lwxXvReaux	Workday: Rock Classics	Classic rock combined a guitar-driven sound with a particular era. This playlist delivers classic rock tracks for the entire workday.	97	167726
37i9dQZF1DX4GMJS146m00	Workday Soul	A great mix of soul music to help you get through your day.	150	98573
2EaYMuzaVSdPjJOqg77E2E	Women of Sweden	Det finns hur många drottningar av Sverige som helst. Vi har samlat 100 av dem i en spellista, där du hör regenter från igår, idag och i morrn. Låt dig imponeras och inspireras!	100	430
37i9dQZF1DX0UrRvztWcAU	Wake Up Happy	Set the mood of your day with these awesome, happy songs!	150	1298085
1m6DKwKNM1YLcm3OX6RzJg	Kvinnor att ha koll på 2014	Upptäck svenska talanger som kommer att vara soundtracket till ditt 2014.  En spellista som ständigt uppdateras.	63	3348
37i9dQZF1DX0ekBHz1NmKS	Made in Sweden	Här hör du de bästa svenska låtarna just nu.	100	111928
37i9dQZF1DXdPec7aLTmlC	Happy Hits!	Hits to boost your mood and fill you with happiness!	100	5651632
37i9dQZF1DWXfgo3OOonqa	100	Håll det 100.	85	230327
37i9dQZF1DWSEMER0I7qzl	The PMS Playlist	These songs will make you feel better. Or maybe worse.	25	216922
37i9dQZF1DX4OF8aCFCpJb	Svensk Reggae	Det bästa från den svenska reggaescenen.	50	63479
37i9dQZF1DX3IN93M08EFq	Spela Shoreline!	Din egen indieklubb! Garanterad dans, dans, dans. #spelashoreline	45	52161
37i9dQZF1DWYgwF78otcGY	Schlagerfest	På med fjäderboan och de gyllene skorna. Nu ska vi dansa i neon!	52	21905
37i9dQZF1DX9XdJRfSK6a0	An Instrumental Sunday	This Sunday, let's tune out the words.	45	134490
37i9dQZF1DX0Ew6u9sRtTY	One-Hit Wonders	Remember these?	50	1116930
1xAmEtLT8c17IisGUa1f4M	38 Great Female Duets	38 great tunes by female singers only!	38	8328
7oTMBMLu6EI4l163C9fkhg	Best of Boybands and Girl Groups	Remember the glory days when boy bands and girl groups ruled the radio? Listen to this playlist and bring the Spice Girls, Hanson, and Destiny's Child back!	41	25089
37i9dQZF1DXdMgrfZfBDFy	Loud & Proud	Höj volymen och happy EuroPride 2018!	47	3669
37i9dQZF1DX6BCd5Q12fpZ	Eurovision Party	Floor fillers from the long, illustrious history of the show.	40	48898
37i9dQZF1DX4Y4RhrZqHhr	Beach Party	The ocean, the sun, your friends, the music.	223	730041
5MkJ5KSzz4wmCpIFvM6pFT	Johnossi	Missa inte Johnossi på Flamingo-scenen på TORSDAG / 18.45	10	30
2CTBt2glXb1wEzUa6wCbWU	Håkan Hellström	Missa inte Håkan Hellström på Flamingo-scenen på FREDAG / 19.40	10	65
52JrW4dL2mDe1Dneq0vH1I	Rodriguez	Missa inte Rodriguez på Flamingo-scenen på FREDAG / 15.00	10	37
4pL8YJw0ts5YcpxEgl1LiL	Of Monsters and Men	Missa inte Of Monsters and Men på Azalea-scenen på FREDAG / 16.10	10	36
3zxOlGe8vWwQA8eLRXBqTY	Alicia Keys	Missa inte Alicia Keys på Flamingo-scenen på LÖRDAG / 22.20	10	72
6c51ZkUk7wO3Icy2sW3jvA	Daniel Adams-Ray	Missa inte Daniel Adams-Ray på Flamingo-scenen på TORSDAG / 16.35	10	18
4lwqQxljF1Rge3X4eMzdza	Kendrick Lamar	Missa inte Kendrick Lamar på Azalea-scenen på LÖRDAG / 21.00	10	36
5grxWts6M4gvPZFrWSNOBl	Disclosure	Missa inte Disclosure på Linné-scenen på LÖRDAG / 23.00	10	16
67zOV0qxT0TT8JEHZDCBDd	Miguel	Missa inte Miguel på Azalea-scenen på FREDAG / 21.15	10	47
37i9dQZF1DX4ELVW61Sklr	Soulful Christmas	A collection of soul, rnb and gospel flavored takes on the most beloved Christmas songs.	50	131363
37i9dQZF1DXaXDsfv6nvZ5	Soul Coffee	The tunes to ease you into your day.	50	654594
37i9dQZF1DXaTIN6XNquoW	This Is Michael Jackson	Jam and remember the time with this collection of hits by the <a href="spotify:artist:3fMbdgg4jU18AjLCKBhRSm">King of Pop</a>!	65	2023292
37i9dQZF1DX843Qf4lrFtZ	Young, Wild & Free	That’s how its supposed to be. Living young, wild and free!	100	2736349
0LqjAibgbS9ep32zZrDcAN	Welcome Home	Finally that person that we've missed so much is home. This deserves  a party!	70	5430
37i9dQZF1DWU8quswnFt3c	EQUAL Global	Listen to women from all over the world, at full volume. Cover: Billie Eilish	70	814576
